id,client_id,variation
768,8305562,Test
769,3319690,Test
770,5253835,Test
771,5688104,Control
772,9589889,Test
773,9513516,Test
774,1410997,Control
775,6682361,Test
776,390650,Test
777,9914877,Test
778,1908164,Test
779,1428184,Test
780,6662941,Control
781,625038,Control
782,8127978,Test
783,4497644,Test
784,2928968,Test
785,2459641,Test
786,2502567,Control
787,6809452,Test
788,2570257,Control
789,1900836,Test
790,9887206,Test
791,8117339,Control
792,9292612,Control
793,4589317,Test
794,9600289,Test
795,8644587,Test
796,3515019,Test
797,1399011,Test
798,3859509,Test
799,9624621,Control
800,1411452,Test
801,9451729,Test
802,7158922,Test
803,2824464,Test
804,7355987,Test
805,4290599,Test
806,195455,Test
807,5941398,Test
808,4855745,Test
809,5670374,Control
810,4889645,Test
811,7393980,Test
812,5754741,Test
813,955190,Test
814,5520127,Control
815,8360249,Control
816,4825054,Control
817,431615,Test
818,6405406,Test
819,5619517,Control
820,4452301,Test
821,9762839,Test
822,2044540,Control
823,5080437,Test
824,8213521,Control
825,9937888,Test
826,9786441,Test
827,5593356,Control
828,6217407,Test
829,4883446,Test
830,8655162,Test
831,1622925,Test
832,5867862,Test
833,7916237,Test
834,2080737,Test
835,3350408,Test
836,1011972,Control
837,520210,Test
838,6559023,Control
839,1835426,Test
840,1859491,Test
841,8158588,Test
842,1787233,Test
843,1255014,Control
844,3314416,Control
845,8121690,Test
846,8219792,Control
847,3252556,Test
848,4577049,Control
849,9795698,Test
850,4202537,Control
851,8792675,Control
852,1113976,Test
853,6605778,Test
854,3030274,Control
855,5166590,Test
856,5395303,Control
857,122493,Control
858,8607353,Test
859,9309880,Test
860,6219485,Test
861,6779709,Test
862,1181698,Control
863,8627900,Test
864,9265934,Control
865,9441056,Control
866,9017041,Control
867,2815061,Control
868,6330488,Test
869,8550901,Control
870,6586655,Control
871,435580,Control
872,6461191,Control
873,5551581,Test
874,9983987,Test
875,8006148,Test
876,6670730,Control
877,6692080,Test
878,3861021,Control
879,4332065,Test
880,5802843,Test
881,4052287,Control
882,8375573,Test
883,8512863,Control
884,9749944,Control
885,9615900,Test
886,7274800,Test
887,5819620,Control
888,1790923,Control
889,6097361,Control
890,8314579,Test
891,9286966,Test
892,8961589,Test
893,7105238,Control
894,3071281,Test
895,981261,Control
896,987879,Test
897,9652308,Test
898,3976933,Control
899,8544465,Test
900,8645809,Test
901,7278903,Test
902,9455359,Test
903,8627399,Control
904,162867,Test
905,1033888,Control
906,7512282,Control
907,3875133,Test
908,5296568,Test
909,5569364,Control
910,483740,Test
911,6958432,Test
912,4533589,Test
913,7977593,Control
914,8470878,Control
915,2460950,Test
916,5028215,Test
917,7030145,Test
918,7303592,Control
919,2465426,Control
920,9007970,Test
921,1333964,Test
922,4129281,Test
923,4635518,Control
924,8605014,Control
925,9382137,Control
926,5328442,Control
927,7932118,Test
928,3028950,Test
929,6148802,Test
930,5955812,Test
931,2923234,Test
932,2528424,Test
933,3722490,Test
934,9296214,Test
935,2529822,Test
936,3337387,Test
937,4870929,Test
938,2619480,Control
939,7421893,Control
940,3725888,Test
941,9406425,Test
942,2529383,Test
943,6724871,Test
944,9322129,Test
945,9202764,Control
946,5209141,Test
947,2113818,Test
948,9764115,Test
949,1296904,Control
950,4719244,Test
951,6372831,Control
952,4313319,Control
953,542563,Control
954,9076766,Control
955,6410961,Control
956,3050600,Control
957,8945602,Control
958,1111442,Test
959,1061161,Control
960,6580601,Control
961,2671815,Control
962,8794099,Control
963,56570,Test
964,1647261,Control
965,3579822,Control
966,9461504,Test
967,4728463,Test
968,7377294,Test
969,7931364,Test
970,8156741,Control
971,5033489,Control
972,2983878,Control
973,3461541,Control
974,6434694,Control
975,6751236,Test
976,7429878,Test
977,5171763,Control
978,8012228,Test
979,7825081,Test
980,6046772,Test
981,8580049,Test
982,2067509,Test
983,3944371,Control
984,8987034,Test
985,5836504,Test
986,9111035,Test
987,2685663,Test
988,2722950,Control
989,7218675,Control
990,3009581,Control
991,8091872,Control
992,1755496,Test
993,9128400,Test
994,3334970,Test
995,559468,Test
996,1925220,Control
997,4979031,Test
998,9910098,Control
999,983122,Control
1000,8249646,Control
1001,8950069,Test
1002,9058579,Control
1003,9039182,Test
1004,3010914,Control
1005,7021345,Control
1006,963874,Test
1007,1546314,Control
1008,7767849,Test
1009,7068149,Control
1010,8118036,Test
1011,9726680,Test
1012,4519160,Control
1013,6773284,Test
1014,7429772,Control
1015,2368143,Test
1016,6308576,Test
1017,3956597,Control
1018,3052488,Control
1019,8758402,Control
1020,9664272,Control
1021,6905463,Control
1022,1144410,Control
1023,2548388,Test
1024,9932367,Control
1025,3149254,Test
1026,2493468,Test
1027,7887617,Test
1028,3317334,Control
1029,5512354,Control
1030,7889092,Control
1031,5267696,Test
1032,7060702,Control
1033,8569065,Control
1034,2006775,Test
1035,6030486,Control
1036,6280351,Control
1037,2108691,Control
1038,2599976,Control
1039,2853115,Control
1040,4554752,Control
1041,8968789,Control
1042,1212721,Test
1043,3322967,Test
1044,6486309,Test
1045,5436729,Test
1046,3074366,Test
1047,3291778,Control
1048,7059333,Control
1049,5188022,Control
1050,6884073,Control
1051,5206988,Test
1052,3366060,Test
1053,7342579,Test
1054,1465396,Test
1055,4780398,Control
1056,2152873,Control
1057,9129878,Control
1058,4023943,Control
1059,521003,Control
1060,2021664,Test
1061,2601570,Test
1062,6066143,Test
1063,464620,Control
1064,3700898,Test
1065,1596808,Control
1066,6578023,Control
1067,1455127,Test
1068,9595233,Control
1069,8560542,Test
1070,2616663,Test
1071,6793640,Control
1072,3097635,Test
1073,409450,Control
1074,7505821,Test
1075,2802293,Control
1076,7928244,Test
1077,6094349,Test
1078,6911162,Control
1079,5379396,Test
1080,2035117,Control
1081,2379374,Test
1082,6362594,Control
1083,749827,Test
1084,8462755,Control
1085,766467,Control
1086,7829434,Control
1087,4374006,Test
1088,5586955,Test
1089,5364422,Test
1090,4374056,Test
1091,9817774,Test
1092,4040468,Test
1093,5651761,Test
1094,1003061,Control
1095,4516267,Control
1096,71476,Control
1097,5599391,Control
1098,2615082,Test
1099,8466565,Test
1100,2471812,Test
1101,864721,Control
1102,5766460,Test
1103,6379996,Test
1104,3391330,Test
1105,5449569,Test
1106,3028832,Test
1107,3703213,Test
1108,1555813,Test
1109,2095170,Test
1110,837625,Control
1111,1735341,Control
1112,3216999,Control
1113,5721401,Test
1114,9542949,Control
1115,9894399,Control
1116,5242744,Test
1117,5566976,Test
1118,934442,Control
1119,4363111,Control
1120,9340301,Control
1121,9967085,Control
1122,6251290,Test
1123,9573768,Control
1124,160938,Control
1125,5525291,Test
1126,2674649,Control
1127,3399215,Control
1128,6804613,Control
1129,928670,Test
1130,9960929,Test
1131,7858061,Test
1132,7471769,Control
1133,65845,Control
1134,1732360,Control
1135,6591984,Control
1136,4133463,Test
1137,2541876,Test
1138,1483517,Test
1139,2044842,Control
1140,707815,Test
1141,5457890,Control
1142,6455115,Control
1143,180404,Control
1144,7263999,Test
1145,2622312,Control
1146,8962467,Control
1147,2190311,Test
1148,3806081,Test
1149,6061376,Control
1150,3570669,Control
1151,7477624,Control
1152,6282795,Control
1153,6324067,Control
1154,5432649,Control
1155,331379,Control
1156,2062763,Test
1157,1163409,Test
1158,2553718,Test
1159,2759297,Test
1160,9173795,Test
1161,9077478,Test
1162,287756,Control
1163,9076007,Test
1164,3495059,Control
1165,1949154,Control
1166,4219577,Control
1167,7688646,Control
1168,2741439,Test
1169,1227035,Test
1170,8728382,Control
1171,463029,Test
1172,7463451,Control
1173,7069926,Test
1174,7543252,Control
1175,9382892,Test
1176,6191302,Control
1177,5617039,Test
1178,1565127,Test
1179,3531620,Control
1180,7283635,Control
1181,8911405,Test
1182,9777919,Test
1183,2857152,Test
1184,8608071,Test
1185,9154283,Test
1186,7680107,Control
1187,2133839,Control
1188,1585267,Test
1189,3016724,Control
1190,161491,Control
1191,6106468,Control
1192,8182943,Test
1193,3239523,Control
1194,8538655,Test
1195,5322608,Control
1196,9128593,Control
1197,5823616,Test
1198,4706669,Control
1199,6431498,Control
1200,5841499,Control
1201,3703282,Control
1202,3571495,Control
1203,451443,Control
1204,6637378,Test
1205,8463084,Control
1206,3836344,Control
1207,4258976,Test
1208,3669611,Control
1209,8939444,Control
1210,5644756,Control
1211,3923657,Test
1212,4305565,Control
1213,5089039,Control
1214,8965532,Control
1215,943003,Test
1216,2357486,Test
1217,9398963,Test
1218,1731028,Test
1219,8753196,Control
1220,6407208,Control
1221,2304952,Test
1222,9788829,Test
1223,2567360,Test
1224,4935415,Test
1225,2796936,Control
1226,4087981,Control
1227,1324064,Control
1228,2649386,Test
1229,2854435,Test
1230,637858,Control
1231,6121098,Test
1232,1322426,Test
1233,7336361,Test
1234,4623083,Test
1235,5617888,Test
1236,9638466,Control
1237,1527623,Control
1238,7758621,Test
1239,9603341,Control
1240,3418762,Control
1241,6240775,Test
1242,7564737,Test
1243,9128690,Test
1244,2195243,Test
1245,4147935,Test
1246,3062998,Test
1247,487462,Test
1248,2353193,Control
1249,5588396,Test
1250,4917803,Control
1251,5490654,Test
1252,6742624,Control
1253,1758566,Control
1254,9322805,Test
1255,2159101,Test
1256,9716117,Control
1257,1663358,Test
1258,9416337,Control
1259,8201398,Control
1260,5916407,Test
1261,3678111,Test
1262,3960380,Test
1263,5715241,Control
1264,6388327,Control
1265,5249171,Test
1266,8696157,Control
1267,5871224,Test
1268,4744245,Control
1269,2430937,Test
1270,780112,Test
1271,809082,Test
1272,9612831,Control
1273,1865475,Test
1274,597792,Test
1275,233601,Control
1276,1288151,Test
1277,8482662,Control
1278,174806,Control
1279,8620393,Test
1280,5919352,Control
1281,7397258,Control
1282,1311965,Control
1283,37408,Control
1284,8806276,Test
1285,269636,Control
1286,7379864,Test
1287,5472730,Control
1288,9646248,Test
1289,2825830,Control
1290,6595818,Test
1291,9740561,Control
1292,9778121,Test
1293,8089534,Test
1294,1269483,Test
1295,6828613,Test
1296,6724757,Test
1297,7024149,Control
1298,6183060,Test
1299,6379127,Control
1300,7602354,Control
1301,345640,Test
1302,5180590,Test
1303,866133,Test
1304,1953574,Test
1305,7817761,Test
1306,3133001,Test
1307,2162418,Test
1308,4038383,Test
1309,6019257,Control
1310,3751021,Test
1311,9750016,Control
1312,979164,Test
1313,5810734,Test
1314,1756663,Control
1315,6267076,Control
1316,196053,Control
1317,6741529,Control
1318,9132831,Test
1319,5060221,Control
1320,2968554,Control
1321,3401354,Test
1322,3132213,Control
1323,8891903,Test
1324,8242142,Test
1325,301165,Test
1326,6078664,Test
1327,152356,Control
1328,8097000,Control
1329,242235,Test
1330,2363857,Control
1331,31502,Control
1332,6494639,Control
1333,8136342,Control
1334,3445770,Test
1335,626494,Test
1336,3874722,Control
1337,7723706,Test
1338,2936450,Test
1339,7276456,Control
1340,2563749,Control
1341,8597519,Control
1342,8870501,Test
1343,160741,Test
1344,8891137,Test
1345,8254513,Control
1346,1374352,Test
1347,775176,Control
1348,1842343,Control
1349,329631,Control
1350,4542043,Control
1351,7825280,Test
1352,6745139,Test
1353,6010099,Test
1354,3905636,Test
1355,283734,Test
1356,7957690,Control
1357,8069676,Control
1358,6396836,Test
1359,1423055,Test
1360,3135162,Test
1361,3623291,Test
1362,7344865,Control
1363,825852,Control
1364,2247954,Test
1365,2712519,Control
1366,1064476,Test
1367,5738894,Control
1368,2806504,Control
1369,282077,Control
1370,3770237,Control
1371,499699,Test
1372,6195846,Control
1373,3920526,Test
1374,1900411,Control
1375,648881,Test
1376,7937128,Test
1377,6081769,Test
1378,5662925,Control
1379,4129662,Test
1380,8705202,Control
1381,1485054,Test
1382,9171585,Test
1383,981888,Control
1384,9390879,Test
1385,7563831,Test
1386,103669,Test
1387,8902463,Control
1388,8409638,Test
1389,7583640,Control
1390,8413740,Control
1391,4145746,Test
1392,8171000,Control
1393,8586525,Test
1394,3667191,Test
1395,5112619,Control
1396,930021,Test
1397,3086953,Test
1398,5804913,Test
1399,5057948,Control
1400,6932133,Control
1401,4142763,Test
1402,2558031,Control
1403,6601606,Control
1404,9993047,Control
1405,2077336,Control
1406,7598039,Test
1407,7031386,Control
1408,254491,Control
1409,8003355,Test
1410,7923876,Control
1411,8443142,Test
1412,8253753,Test
1413,1154031,Control
1414,7202634,Test
1415,7882288,Test
1416,9263439,Test
1417,1662843,Control
1418,5790286,Control
1419,823482,Control
1420,7534562,Test
1421,8326453,Test
1422,2929334,Test
1423,9669255,Test
1424,2555657,Test
1425,5703905,Test
1426,4439304,Test
1427,3673713,Control
1428,2775504,Test
1429,770147,Control
1430,3450220,Test
1431,6396865,Control
1432,6571403,Control
1433,8014451,Control
1434,1273901,Test
1435,8807567,Test
1436,5856806,Test
1437,685442,Control
1438,3188445,Control
1439,5225442,Test
1440,2854662,Test
1441,3449302,Control
1442,8182204,Control
1443,2809254,Test
1444,2529944,Test
1445,7050904,Test
1446,8627381,Control
1447,5926577,Test
1448,8151693,Control
1449,6168374,Control
1450,881057,Test
1451,5555638,Control
1452,41516,Control
1453,5552819,Control
1454,2763758,Control
1455,9599875,Test
1456,5245124,Test
1457,4740032,Test
1458,9006692,Test
1459,4156608,Test
1460,240400,Control
1461,3236351,Test
1462,5065737,Test
1463,7143633,Control
1464,6735099,Control
1465,9404539,Control
1466,9923389,Control
1467,503051,Control
1468,1669156,Test
1469,6542682,Control
1470,86780,Test
1471,2572041,Control
1472,2736294,Test
1473,5875727,Control
1474,9465015,Test
1475,239291,Test
1476,7258079,Test
1477,4914129,Control
1478,2010851,Control
1479,6623614,Control
1480,9101443,Control
1481,6157625,Test
1482,3007171,Test
1483,353727,Control
1484,379137,Control
1485,260044,Test
1486,42725,Test
1487,2819518,Test
1488,6862532,Test
1489,6036804,Test
1490,3329380,Test
1491,2898817,Control
1492,244011,Test
1493,786681,Control
1494,941279,Control
1495,581882,Control
1496,478808,Test
1497,2937724,Control
1498,773462,Control
1499,4766855,Test
1500,7893040,Control
1501,3423690,Control
1502,2153015,Control
1503,8538953,Control
1504,6490503,Control
1505,966341,Test
1506,515712,Control
1507,2395001,Control
1508,460257,Test
1509,2237376,Test
1510,533320,Control
1511,1814949,Test
1512,118415,Control
1513,270682,Control
1514,3407926,Control
1515,3812607,Test
1516,2620242,Control
1517,9887430,Test
